client_id	round	val_accuracy	val_f1_score	val_loss	val_precision	val_recall
12	12	0.6796116504854369	0.8065650644783119	0.5317705998324597	0.6785009861932939	0.9942196531791907
2	13	0.7085828343313373	0.8290398126463701	0.5713715517541147	0.708	1.0
11	13	0.7658349328214972	0.8671023965141612	0.4863266517217941	0.766859344894027	0.9974937343358395
4	13	0.6686159844054581	0.8004694835680751	0.5969497157219734	0.6673189823874756	1.0
7	13	0.7803468208092486	0.8733333333333333	0.47506523645459686	0.7751479289940828	1.0
14	13	0.7455621301775148	0.8542372881355932	0.5083779519551943	0.7455621301775148	1.0
8	14	0.720532319391635	0.8375690607734807	0.5170541567046051	0.720532319391635	1.0
7	14	0.7938342967244701	0.8799102132435466	0.46176939290210267	0.7871485943775101	0.9974554707379135
3	14	0.7140186915887851	0.8331515812431843	0.5512955414158438	0.7140186915887851	1.0
15	14	0.6653846153846154	0.7976744186046512	0.5634052083238315	0.6634429400386848	1.0
5	14	0.7377690802348337	0.8466819221967964	0.47283950161037597	0.7341269841269841	1.0
14	15	0.7435897435897436	0.8529411764705882	0.5133017806925204	0.7450592885375494	0.9973544973544973
1	15	0.8722109533468559	0.9247311827956989	0.316457938761876	0.8619153674832962	0.9974226804123711
3	15	0.7233644859813084	0.8377192982456141	0.5550768708251014	0.720754716981132	1.0
7	15	0.8208092485549133	0.8939566704675028	0.454493222685172	0.8099173553719008	0.9974554707379135
15	15	0.6711538461538461	0.8004667444574096	0.5623713561471411	0.6673151750972762	1.0
8	16	0.7300380228136882	0.8422222222222222	0.5095842733133189	0.727447216890595	1.0
15	16	0.675	0.8014101057579318	0.5498793923430425	0.6712598425196851	0.9941690962099126
1	16	0.8904665314401623	0.9347826086956522	0.29416291794437494	0.8795454545454545	0.9974226804123711
10	16	0.6932849364791288	0.8176914778856527	0.5666383778258892	0.7110694183864915	0.9619289340101523
9	16	0.683111954459203	0.8108720271800679	0.5821489438721276	0.6819047619047619	1.0
14	17	0.7534516765285996	0.8574686431014823	0.5388335084165197	0.7535070140280561	0.9947089947089947
10	17	0.6950998185117967	0.8189655172413793	0.5712548410070046	0.7116104868913857	0.9644670050761421
15	17	0.6846153846153846	0.806146572104019	0.5363198559378405	0.6779324055666004	0.9941690962099126
1	17	0.9066937119675457	0.9437652811735942	0.27443273864923895	0.8976744186046511	0.9948453608247423
2	17	0.7105788423153693	0.8300117233294255	0.592654631173734	0.7094188376753507	1.0
11	18	0.7696737044145874	0.8669623059866962	0.5288536250223667	0.7773359840954275	0.9799498746867168
6	18	0.7209775967413442	0.8359281437125748	0.5871895512456955	0.7195876288659794	0.9971428571428571
15	18	0.6903846153846154	0.8085612366230678	0.5284443129212747	0.6827309236947792	0.9912536443148688
5	18	0.7318982387475538	0.8437856328392246	0.5274741127036032	0.7297830374753451	1.0
8	18	0.7357414448669202	0.8450390189520625	0.532862754980178	0.7316602316602316	1.0
5	19	0.7318982387475538	0.8437856328392246	0.5252939131499041	0.7297830374753451	1.0
15	19	0.6942307692307692	0.8104886769964244	0.5296589891477446	0.6854838709677419	0.9912536443148688
4	19	0.682261208576998	0.8061831153388823	0.6112521312589829	0.678	0.9941348973607038
