round	accuracy	precision	recall	f1	specificity	loss
33	0.7315	0.7810	0.9098	0.8405	0.1081	0.542446876781502
34	0.8036	0.8059	0.9845	0.8863	0.1712	0.4395773572536523
35	0.7435	0.7902	0.9124	0.8469	0.1532	0.5718670085458729
36	0.8397	0.8407	0.9794	0.9048	0.3514	0.4352233982333682
37	0.7234	0.7815	0.8943	0.8341	0.1261	0.571487611551346
38	0.7054	0.7849	0.8557	0.8187	0.1802	0.564187460877677
39	0.8297	0.8420	0.9613	0.8977	0.3694	0.4303319389000028
40	0.7114	0.7864	0.8634	0.8231	0.1802	0.550451303255526
41	0.7234	0.7741	0.9098	0.8365	0.0721	0.5843058319535911
42	0.7214	0.7836	0.8866	0.8319	0.1441	0.5993401552927855
43	0.7355	0.7870	0.9046	0.8417	0.1441	0.5478302037361463
44	0.8317	0.8439	0.9613	0.8988	0.3784	0.438836944614885
45	0.6894	0.7630	0.8711	0.8135	0.0541	0.6667441305733868
46	0.7054	0.7720	0.8814	0.8231	0.0901	0.634243550296344
47	0.6974	0.7687	0.8737	0.8179	0.0811	0.6097502734478121
48	0.8156	0.8176	0.9820	0.8923	0.2342	0.44410182621747085
49	0.8236	0.8275	0.9768	0.8960	0.2883	0.44049778395949
50	0.7375	0.7837	0.9149	0.8442	0.1171	0.554330368677192
51	0.7475	0.7811	0.9381	0.8525	0.0811	0.5671087828373412
52	0.7014	0.7722	0.8737	0.8198	0.0991	0.5725953213072097
53	0.7114	0.7850	0.8660	0.8235	0.1712	0.5673078681298809
54	0.6974	0.7675	0.8763	0.8183	0.0721	0.6449465817963487
55	0.7275	0.7851	0.8943	0.8361	0.1441	0.5643946401161006
56	0.8136	0.8345	0.9485	0.8878	0.3423	0.43868782722122857
57	0.8297	0.8330	0.9768	0.8992	0.3153	0.44130197070167865
58	0.6894	0.7678	0.8608	0.8117	0.0901	0.6136792131685415
59	0.8437	0.8539	0.9639	0.9056	0.4234	0.4312755277520546
60	0.7996	0.8064	0.9768	0.8834	0.1802	0.4632046675601859
61	0.7234	0.7803	0.8969	0.8345	0.1171	0.5792501771643084
62	0.7315	0.7860	0.8995	0.8389	0.1441	0.669055639709555
63	0.7214	0.7889	0.8763	0.8303	0.1802	0.5633654594425287
64	0.8236	0.8538	0.9330	0.8916	0.4414	0.419174287919576
65	0.7956	0.8095	0.9639	0.8800	0.2072	0.43646684467138086
66	0.7094	0.7670	0.8995	0.8280	0.0450	0.5917840526993116
67	0.7214	0.7712	0.9124	0.8359	0.0541	0.5644786003508633
68	0.7876	0.8079	0.9536	0.8747	0.2072	0.45279956293035345
69	0.8317	0.8423	0.9639	0.8990	0.3694	0.4278844012656187
70	0.7154	0.7758	0.8918	0.8297	0.0991	0.5697622430150308
71	0.8116	0.8281	0.9562	0.8876	0.3063	0.44459369997529713
72	0.7094	0.7768	0.8789	0.8247	0.1171	0.584096956671972
