client_id	round	val_accuracy	val_f1_score	val_precision	val_recall
8	58	0.688212927756654	0.8019323671497585	0.7394209354120267	0.8759894459102903
2	58	0.6786427145708582	0.7969735182849937	0.7198177676537585	0.8926553672316384
3	58	0.7345794392523365	0.8397291196388262	0.7380952380952381	0.9738219895287958
11	58	0.7504798464491362	0.8502304147465438	0.7867803837953091	0.924812030075188
14	58	0.7258382642998028	0.8298653610771114	0.7722095671981777	0.8968253968253969
5	59	0.7514677103718199	0.8507638072855465	0.7525987525987526	0.9783783783783784
4	59	0.672514619883041	0.7889447236180904	0.6901098901098901	0.9208211143695014
15	59	0.6384615384615384	0.7707317073170732	0.6624737945492662	0.9212827988338192
11	59	0.7504798464491362	0.8502304147465438	0.7867803837953091	0.924812030075188
2	59	0.6786427145708582	0.7969735182849937	0.7198177676537585	0.8926553672316384
7	60	0.7398843930635838	0.8371531966224367	0.7958715596330275	0.8829516539440203
9	60	0.6641366223908919	0.7849331713244229	0.6946236559139785	0.9022346368715084
15	60	0.6384615384615384	0.7707317073170732	0.6624737945492662	0.9212827988338192
4	60	0.672514619883041	0.7889447236180904	0.6901098901098901	0.9208211143695014
3	60	0.7345794392523365	0.8397291196388262	0.7380952380952381	0.9738219895287958
5	61	0.7514677103718199	0.8507638072855465	0.7525987525987526	0.9783783783783784
13	61	0.739961759082218	0.8436781609195402	0.8030634573304157	0.8886198547215496
15	61	0.6384615384615384	0.7707317073170732	0.6624737945492662	0.9212827988338192
11	61	0.7504798464491362	0.8502304147465438	0.7867803837953091	0.924812030075188
8	61	0.688212927756654	0.8019323671497585	0.7394209354120267	0.8759894459102903
4	62	0.672514619883041	0.7889447236180904	0.6901098901098901	0.9208211143695014
8	62	0.688212927756654	0.8019323671497585	0.7394209354120267	0.8759894459102903
14	62	0.7258382642998028	0.8298653610771114	0.7722095671981777	0.8968253968253969
5	62	0.7514677103718199	0.8507638072855465	0.7525987525987526	0.9783783783783784
7	62	0.7398843930635838	0.8371531966224367	0.7958715596330275	0.8829516539440203
15	63	0.6384615384615384	0.7707317073170732	0.6624737945492662	0.9212827988338192
12	63	0.6776699029126214	0.7935323383084577	0.6965065502183406	0.9219653179190751
8	63	0.688212927756654	0.8019323671497585	0.7394209354120267	0.8759894459102903
5	63	0.7514677103718199	0.8507638072855465	0.7525987525987526	0.9783783783783784
10	63	0.6787658802177858	0.8	0.7209775967413442	0.8984771573604061
10	64	0.6787658802177858	0.8	0.7209775967413442	0.8984771573604061
13	64	0.739961759082218	0.8436781609195402	0.8030634573304157	0.8886198547215496
6	64	0.6883910386965377	0.807061790668348	0.7223476297968398	0.9142857142857143
8	64	0.688212927756654	0.8019323671497585	0.7394209354120267	0.8759894459102903
1	64	0.9350912778904665	0.9593908629441624	0.945	0.9742268041237113
2	65	0.6347305389221557	0.7626459143968871	0.7050359712230215	0.8305084745762712
13	65	0.6615678776290631	0.7864897466827503	0.7836538461538461	0.7893462469733656
12	65	0.6563106796116505	0.7790262172284644	0.6857142857142857	0.9017341040462428
5	65	0.6966731898238747	0.8125755743651754	0.7352297592997812	0.9081081081081082
